id,machine_id,shift,timestamp,off_time,idle_time,production_time,total_parts,good_parts,bad_parts,availability,performance,quality,availability_loss,performance_loss,quality_loss,oee,update_date
16,3,2,2023-11-16 05:39:29,00:18:40,00:31:09,07:10:09,852,838,14,0.8962,0.9903,0.9836,0.1038,0.0097,0.0164,0.8729,2023-11-16 06:36:55
17,5,2,2023-04-21 14:24:12,00:14:38,00:35:19,07:10:02,828,817,11,0.8959,0.9627,0.9867,0.1041,0.0373,0.0133,0.851,2023-04-21 15:18:48
18,5,1,2024-02-25 14:33:50,00:39:07,00:36:03,06:44:48,637,632,5,0.8433,0.7868,0.9922,0.1567,0.2132,0.0078,0.6583,2024-02-25 15:30:55
19,5,2,2023-01-05 09:08:52,00:20:18,01:31:13,06:08:28,617,591,26,0.7676,0.8372,0.9579,0.2324,0.1628,0.0421,0.6156,2023-01-05 09:44:47
20,4,2,2025-02-27 11:48:47,00:06:38,01:48:54,06:04:26,597,596,1,0.7593,0.8191,0.9983,0.2407,0.1809,0.0017,0.6208,2025-02-27 12:33:26
21,2,2,2023-12-09 08:46:04,00:35:56,01:16:52,06:07:11,550,548,2,0.765,0.7489,0.9964,0.235,0.2511,0.0036,0.5708,2023-12-09 08:58:25
22,5,1,2024-04-14 13:19:03,00:12:46,01:36:34,06:10:38,561,557,4,0.7722,0.7568,0.9929,0.2278,0.2432,0.0071,0.5802,2024-04-14 14:15:20
23,5,2,2024-06-20 10:36:49,01:19:52,00:33:40,06:06:26,657,655,2,0.7634,0.8965,0.997,0.2366,0.1035,0.003,0.6823,2024-06-20 10:43:15
24,2,1,2023-10-26 10:05:04,00:45:31,00:38:29,06:35:59,747,738,9,0.825,0.9432,0.988,0.175,0.0568,0.012,0.7687,2023-10-26 10:47:43
25,2,1,2023-03-23 15:30:56,00:15:51,01:05:49,06:38:18,660,638,22,0.8298,0.8285,0.9667,0.1702,0.1715,0.0333,0.6646,2023-03-23 16:20:36
26,1,1,2023-04-16 18:52:36,00:14:52,00:49:03,06:56:04,714,704,10,0.8668,0.858,0.986,0.1332,0.142,0.014,0.7333,2023-04-16 19:07:10
27,3,2,2025-07-05 18:14:50,00:17:37,01:20:56,06:21:26,547,547,0,0.7947,0.717,1.0,0.2053,0.283,0.0,0.5698,2025-07-05 19:04:09
28,2,2,2023-08-10 02:29:28,01:09:50,00:45:35,06:04:33,672,662,10,0.7595,0.9217,0.9851,0.2405,0.0783,0.0149,0.6896,2023-08-10 02:46:22
29,6,1,2023-02-19 07:33:01,00:15:19,00:20:45,07:23:55,927,916,11,0.9248,1.0,0.9881,0.0752,0.0,0.0119,0.9139,2023-02-19 07:38:17
30,6,2,2023-09-06 10:51:23,00:28:41,01:01:31,06:29:46,624,592,32,0.812,0.8005,0.9487,0.188,0.1995,0.0513,0.6167,2023-09-06 11:47:23
31,3,1,2025-09-19 15:56:40,00:09:30,01:09:07,06:41:21,712,711,1,0.8362,0.887,0.9986,0.1638,0.113,0.0014,0.7406,2025-09-19 16:14:45
32,1,2,2023-03-10 14:34:11,00:27:45,00:53:35,06:38:38,616,587,29,0.8305,0.7726,0.9529,0.1695,0.2274,0.0471,0.6115,2023-03-10 14:49:22
33,5,2,2025-04-29 23:22:56,00:40:35,01:04:28,06:14:55,709,698,11,0.7811,0.9455,0.9845,0.2189,0.0545,0.0155,0.7271,2025-04-29 23:58:52
34,6,2,2024-11-18 03:59:55,00:02:44,00:24:46,07:32:29,663,646,17,0.9427,0.7326,0.9744,0.0573,0.2674,0.0256,0.6729,2024-11-18 04:55:48
35,5,1,2024-07-29 11:16:09,00:06:57,00:17:55,07:35:07,623,621,2,0.9482,0.6844,0.9968,0.0518,0.3156,0.0032,0.6469,2024-07-29 12:08:41
36,2,1,2023-03-31 07:16:28,00:11:21,00:46:45,07:01:52,670,667,3,0.8789,0.7941,0.9955,0.1211,0.2059,0.0045,0.6948,2023-03-31 08:08:23
37,1,2,2023-05-04 04:16:55,00:14:58,01:14:39,06:30:21,656,640,16,0.8132,0.8403,0.9756,0.1868,0.1597,0.0244,0.6667,2023-05-04 05:13:27
38,2,1,2024-07-30 17:37:01,00:13:23,00:17:57,07:28:39,648,635,13,0.9347,0.7222,0.9799,0.0653,0.2778,0.0201,0.6615,2024-07-30 17:47:19
39,6,1,2023-10-25 21:16:24,00:28:55,01:26:54,06:04:10,650,625,25,0.7587,0.8924,0.9615,0.2413,0.1076,0.0385,0.651,2023-10-25 22:05:42
40,5,2,2025-04-06 21:09:29,00:39:40,01:00:32,06:19:46,540,536,4,0.7912,0.7109,0.9926,0.2088,0.2891,0.0074,0.5583,2025-04-06 21:31:38
41,2,2,2025-10-04 05:39:46,00:42:40,01:07:19,06:10:00,697,687,10,0.7708,0.9419,0.9857,0.2292,0.0581,0.0143,0.7156,2025-10-04 05:54:22
42,5,1,2024-09-19 18:34:30,00:16:35,01:39:52,06:03:31,607,604,3,0.7574,0.8349,0.9951,0.2426,0.1651,0.0049,0.6292,2024-09-19 18:43:05
43,6,2,2025-11-06 13:16:18,00:04:27,01:39:53,06:15:38,668,650,18,0.7826,0.8891,0.9731,0.2174,0.1109,0.0269,0.6771,2025-11-06 13:24:56
44,4,1,2025-08-05 08:42:08,00:04:20,00:50:40,07:04:59,668,640,28,0.8854,0.7859,0.9581,0.1146,0.2141,0.0419,0.6667,2025-08-05 08:58:46
45,2,2,2023-07-07 02:56:22,00:03:20,00:24:21,07:32:18,873,851,22,0.9423,0.965,0.9748,0.0577,0.035,0.0252,0.8865,2023-07-07 03:15:13
46,1,1,2023-10-19 19:51:52,01:02:46,00:45:48,06:11:25,718,710,8,0.7738,0.9666,0.9889,0.2262,0.0334,0.0111,0.7396,2023-10-19 20:41:50
47,5,1,2023-08-28 22:42:42,00:36:51,00:21:24,07:01:44,616,615,1,0.8786,0.7303,0.9984,0.1214,0.2697,0.0016,0.6406,2023-08-28 22:53:05
48,2,2,2024-10-27 14:47:44,00:09:34,00:38:02,07:12:23,659,649,10,0.9008,0.762,0.9848,0.0992,0.238,0.0152,0.676,2024-10-27 14:53:44
49,2,1,2024-07-13 09:00:05,00:32:08,00:58:18,06:29:33,842,834,8,0.8116,1.0,0.9905,0.1884,0.0,0.0095,0.8039,2024-07-13 09:56:27
50,3,1,2025-12-06 23:00:17,00:01:26,00:46:48,07:11:44,720,703,17,0.8995,0.8338,0.9764,0.1005,0.1662,0.0236,0.7323,2025-12-06 23:53:18
51,6,2,2024-03-04 12:18:01,00:08:48,00:28:20,07:22:51,708,708,0,0.9226,0.7994,1.0,0.0774,0.2006,0.0,0.7375,2024-03-04 13:05:46
52,5,1,2024-03-23 21:39:04,00:25:58,00:39:17,06:54:43,488,477,11,0.864,0.5883,0.9775,0.136,0.4117,0.0225,0.4969,2024-03-23 22:18:50
53,6,2,2025-09-08 20:40:50,00:20:57,01:33:01,06:06:00,583,573,10,0.7625,0.7964,0.9828,0.2375,0.2036,0.0172,0.5969,2025-09-08 20:44:16
54,5,2,2023-07-27 21:35:42,00:29:46,00:36:34,06:53:39,494,479,15,0.8618,0.5971,0.9696,0.1382,0.4029,0.0304,0.499,2023-07-27 22:32:12
55,3,1,2025-05-02 21:48:44,00:09:33,00:45:26,07:05:00,797,779,18,0.8854,0.9376,0.9774,0.1146,0.0624,0.0226,0.8115,2025-05-02 22:37:52
56,3,1,2023-12-26 06:01:39,00:14:04,00:36:21,07:09:33,617,594,23,0.8949,0.7182,0.9627,0.1051,0.2818,0.0373,0.6188,2023-12-26 06:47:37
57,1,1,2025-07-25 11:05:42,00:03:35,01:22:50,06:33:34,595,567,28,0.8199,0.7559,0.9529,0.1801,0.2441,0.0471,0.5906,2025-07-25 11:24:40
58,1,2,2025-05-25 03:37:25,00:12:37,01:17:16,06:30:05,655,653,2,0.8127,0.8395,0.9969,0.1873,0.1605,0.0031,0.6802,2025-05-25 04:32:56
59,3,2,2025-06-06 11:45:31,00:18:07,01:22:32,06:19:19,574,571,3,0.7903,0.7566,0.9948,0.2097,0.2434,0.0052,0.5948,2025-06-06 12:04:07
60,6,1,2025-09-24 07:15:51,00:00:00,00:37:35,07:22:23,688,681,7,0.9217,0.7776,0.9898,0.0783,0.2224,0.0102,0.7094,2025-09-24 07:52:11
61,4,2,2023-10-15 01:20:34,00:27:26,01:19:19,06:13:14,498,489,9,0.7776,0.6671,0.9819,0.2224,0.3329,0.0181,0.5094,2023-10-15 01:57:33
62,5,1,2025-11-10 12:19:01,00:01:06,00:30:38,07:28:14,667,655,12,0.9338,0.744,0.982,0.0662,0.256,0.018,0.6823,2025-11-10 12:58:50
63,5,1,2023-10-14 02:58:13,00:03:58,00:59:25,06:56:36,670,658,12,0.8679,0.8041,0.9821,0.1321,0.1959,0.0179,0.6854,2023-10-14 03:28:34
64,1,2,2025-09-13 15:24:08,00:35:17,00:37:03,06:47:39,572,572,0,0.8493,0.7016,1.0,0.1507,0.2984,0.0,0.5958,2025-09-13 16:10:13
65,2,1,2024-03-17 14:26:07,00:59:39,00:28:36,06:31:44,577,570,7,0.8161,0.7365,0.9879,0.1839,0.2635,0.0121,0.5937,2024-03-17 14:41:48
66,1,1,2025-02-09 12:59:15,00:20:27,01:39:20,06:00:12,629,624,5,0.7504,0.8731,0.9921,0.2496,0.1269,0.0079,0.65,2025-02-09 13:51:10
67,4,2,2023-03-10 17:36:03,00:17:30,01:07:42,06:34:46,645,614,31,0.8224,0.8169,0.9519,0.1776,0.1831,0.0481,0.6396,2023-03-10 18:27:38
68,5,1,2023-09-27 02:14:27,00:04:00,00:43:36,07:12:23,712,709,3,0.9008,0.8233,0.9958,0.0992,0.1767,0.0042,0.7385,2023-09-27 02:53:00
69,3,2,2023-12-12 16:41:50,00:53:48,00:26:24,06:39:46,711,691,20,0.8329,0.8892,0.9719,0.1671,0.1108,0.0281,0.7198,2023-12-12 16:46:09
70,5,2,2024-04-12 17:51:33,00:01:04,00:42:08,07:16:46,661,650,11,0.91,0.7567,0.9834,0.09,0.2433,0.0166,0.6771,2024-04-12 17:57:36
71,2,2,2023-12-28 12:17:59,00:53:03,00:23:06,06:43:49,762,750,12,0.8413,0.9435,0.9843,0.1587,0.0565,0.0157,0.7812,2023-12-28 12:19:53
72,4,2,2024-11-26 07:38:29,00:12:12,00:57:59,06:49:48,623,618,5,0.8538,0.7601,0.992,0.1462,0.2399,0.008,0.6437,2024-11-26 08:23:19
73,3,1,2024-02-28 23:02:05,00:34:20,01:25:08,06:00:30,629,619,10,0.7511,0.8724,0.9841,0.2489,0.1276,0.0159,0.6448,2024-02-28 23:42:11
74,3,1,2024-04-11 01:11:44,00:29:32,00:47:20,06:43:06,596,566,30,0.8398,0.7392,0.9497,0.1602,0.2608,0.0503,0.5896,2024-04-11 01:15:12
75,5,1,2024-09-27 07:57:28,00:07:42,01:00:23,06:51:53,667,642,25,0.8581,0.8097,0.9625,0.1419,0.1903,0.0375,0.6687,2024-09-27 08:11:13
76,5,1,2023-10-30 06:17:09,00:24:21,00:45:20,06:50:17,574,557,17,0.8548,0.6995,0.9704,0.1452,0.3005,0.0296,0.5802,2023-10-30 07:12:39
77,5,1,2024-11-21 22:52:12,00:30:51,00:58:56,06:30:11,546,536,10,0.8129,0.6996,0.9817,0.1871,0.3004,0.0183,0.5583,2024-11-21 23:08:21
78,5,1,2024-09-12 00:18:58,00:30:37,00:33:25,06:55:57,764,761,3,0.8666,0.9184,0.9961,0.1334,0.0816,0.0039,0.7927,2024-09-12 00:22:40
79,2,1,2023-12-25 18:05:01,00:29:39,01:02:41,06:27:39,524,519,5,0.8076,0.6759,0.9905,0.1924,0.3241,0.0095,0.5406,2023-12-25 18:55:33
80,6,1,2024-04-20 11:39:16,00:07:51,00:30:47,07:21:20,666,659,7,0.9195,0.7545,0.9895,0.0805,0.2455,0.0105,0.6865,2024-04-20 12:13:13
81,1,2,2023-03-29 13:30:17,00:12:36,00:46:48,07:00:34,861,845,16,0.8762,1.0,0.9814,0.1238,0.0,0.0186,0.8599,2023-03-29 14:05:24
82,3,1,2025-03-20 17:37:13,00:46:00,01:04:58,06:09:00,773,772,1,0.7688,1.0,0.9987,0.2312,0.0,0.0013,0.7678,2025-03-20 18:32:20
83,6,2,2023-03-24 07:03:23,00:07:23,00:31:34,07:21:02,768,767,1,0.9188,0.8707,0.9987,0.0812,0.1293,0.0013,0.799,2023-03-24 07:39:50
84,5,2,2025-08-27 06:19:36,00:25:55,00:52:45,06:41:19,784,779,5,0.8361,0.9768,0.9936,0.1639,0.0232,0.0064,0.8115,2025-08-27 06:56:51
85,4,1,2023-03-04 16:25:48,00:17:38,01:18:08,06:24:13,556,536,20,0.8005,0.7235,0.964,0.1995,0.2765,0.036,0.5583,2023-03-04 17:17:51
86,5,1,2024-06-22 15:59:32,00:51:14,00:26:20,06:42:25,783,756,27,0.8384,0.9729,0.9655,0.1616,0.0271,0.0345,0.7875,2024-06-22 16:51:26
87,3,1,2023-05-10 23:04:24,00:04:51,00:49:29,07:05:38,707,694,13,0.8868,0.8305,0.9816,0.1132,0.1695,0.0184,0.7229,2023-05-11 00:01:53
88,2,2,2023-11-10 18:55:29,00:02:44,00:25:15,07:31:59,846,843,3,0.9417,0.9359,0.9965,0.0583,0.0641,0.0035,0.8781,2023-11-10 19:37:53
89,4,2,2025-09-24 10:37:08,00:11:08,01:26:30,06:22:21,581,579,2,0.7966,0.7598,0.9966,0.2034,0.2402,0.0034,0.6031,2025-09-24 10:51:26
90,1,2,2025-08-26 21:28:01,00:27:29,00:31:45,07:00:44,600,594,6,0.8766,0.713,0.99,0.1234,0.287,0.01,0.6187,2025-08-26 22:14:30
91,4,2,2023-11-24 10:12:13,00:05:46,00:39:27,07:14:45,546,545,1,0.9057,0.6279,0.9982,0.0943,0.3721,0.0018,0.5677,2023-11-24 10:48:19
92,1,1,2025-08-03 04:28:22,00:27:22,00:42:02,06:50:34,584,545,39,0.8554,0.7112,0.9332,0.1446,0.2888,0.0668,0.5677,2025-08-03 05:11:40
93,4,1,2024-02-21 02:25:29,00:01:59,01:42:50,06:15:09,643,638,5,0.7816,0.857,0.9922,0.2184,0.143,0.0078,0.6646,2024-02-21 03:09:49
94,2,2,2024-11-29 19:05:37,00:19:18,01:23:19,06:17:21,544,521,23,0.7862,0.7208,0.9577,0.2138,0.2792,0.0423,0.5427,2024-11-29 19:16:08
95,2,2,2024-03-05 11:34:12,00:26:51,01:11:05,06:22:03,623,616,7,0.7959,0.8153,0.9888,0.2041,0.1847,0.0112,0.6417,2024-03-05 11:54:11
96,4,2,2023-03-04 12:54:51,00:17:10,00:21:22,07:21:27,887,868,19,0.9197,1.0,0.9786,0.0803,0.0,0.0214,0.9,2023-03-04 13:53:20
97,2,2,2024-06-12 22:02:13,00:12:17,01:41:26,06:06:15,655,638,17,0.7631,0.8942,0.974,0.2369,0.1058,0.026,0.6646,2024-06-12 22:16:36
98,3,1,2023-01-21 14:17:57,00:24:07,00:30:00,07:05:51,842,835,7,0.8872,0.9886,0.9917,0.1128,0.0114,0.0083,0.8698,2023-01-21 15:12:05
99,2,2,2024-08-29 04:17:50,00:46:20,00:56:23,06:17:15,586,577,9,0.786,0.7767,0.9846,0.214,0.2233,0.0154,0.601,2024-08-29 04:25:02
100,5,1,2025-09-17 02:15:57,00:34:16,01:20:56,06:04:47,503,477,26,0.76,0.6894,0.9483,0.24,0.3106,0.0517,0.4969,2025-09-17 02:50:21
101,6,2,2024-03-24 21:11:18,00:02:19,01:12:25,06:45:15,703,662,41,0.8443,0.8674,0.9417,0.1557,0.1326,0.0583,0.6896,2024-03-24 21:50:50
102,6,2,2023-06-12 16:55:32,00:26:16,00:29:24,07:04:18,564,548,16,0.884,0.6646,0.9716,0.116,0.3354,0.0284,0.5708,2023-06-12 16:58:39
103,5,2,2023-06-21 20:10:20,00:54:08,01:01:52,06:03:58,508,502,6,0.7583,0.6978,0.9882,0.2417,0.3022,0.0118,0.5229,2023-06-21 20:25:07
104,5,1,2023-03-16 05:06:09,00:09:42,00:15:00,07:35:16,820,800,20,0.9485,0.9006,0.9756,0.0515,0.0994,0.0244,0.8333,2023-03-16 05:14:38
105,2,1,2024-12-20 22:04:07,00:06:17,00:25:02,07:28:40,576,566,10,0.9347,0.6419,0.9826,0.0653,0.3581,0.0174,0.5896,2024-12-20 22:58:44
106,2,1,2023-06-30 17:50:28,00:26:19,00:27:33,07:06:07,677,675,2,0.8877,0.7944,0.997,0.1123,0.2056,0.003,0.7031,2023-06-30 18:22:02
107,4,1,2023-03-11 01:28:02,00:13:06,00:20:35,07:26:18,692,666,26,0.9298,0.7753,0.9624,0.0702,0.2247,0.0376,0.6937,2023-03-11 02:11:13
108,4,1,2025-07-06 05:13:51,00:02:19,01:51:47,06:05:52,501,488,13,0.7623,0.6846,0.9741,0.2377,0.3154,0.0259,0.5083,2025-07-06 05:19:12
109,5,2,2025-02-16 08:55:01,00:17:15,00:44:05,06:58:39,790,781,9,0.8722,0.9435,0.9886,0.1278,0.0565,0.0114,0.8135,2025-02-16 09:22:51
110,2,2,2023-09-04 14:29:55,00:58:29,00:47:44,06:13:46,542,539,3,0.7787,0.725,0.9945,0.2213,0.275,0.0055,0.5615,2023-09-04 14:47:30
111,5,1,2024-04-27 15:19:31,00:11:59,01:03:59,06:44:01,758,750,8,0.8417,0.9381,0.9894,0.1583,0.0619,0.0106,0.7812,2024-04-27 15:29:53
112,3,1,2024-11-16 04:09:57,00:13:51,01:40:51,06:05:16,618,592,26,0.761,0.8459,0.9579,0.239,0.1541,0.0421,0.6167,2024-11-16 04:49:48
113,3,2,2023-11-24 16:43:05,00:00:43,00:31:39,07:27:37,736,735,1,0.9325,0.8221,0.9986,0.0675,0.1779,0.0014,0.7656,2023-11-24 17:02:51
114,5,1,2023-09-17 09:42:38,00:03:13,01:07:08,06:49:38,745,721,24,0.8534,0.9093,0.9678,0.1466,0.0907,0.0322,0.751,2023-09-17 10:11:37
115,5,1,2023-07-26 02:38:04,00:03:24,00:41:45,07:14:50,628,612,16,0.9059,0.7221,0.9745,0.0941,0.2779,0.0255,0.6375,2023-07-26 03:01:41
116,3,2,2023-10-24 12:24:12,00:00:41,00:37:44,07:21:33,693,686,7,0.9199,0.7847,0.9899,0.0801,0.2153,0.0101,0.7146,2023-10-24 13:17:16
117,3,1,2023-07-15 17:45:47,00:18:39,01:31:15,06:10:05,621,615,6,0.771,0.839,0.9903,0.229,0.161,0.0097,0.6406,2023-07-15 17:56:49
118,3,2,2025-09-04 21:42:37,00:20:23,00:57:27,06:42:08,591,583,8,0.8378,0.7348,0.9865,0.1622,0.2652,0.0135,0.6073,2025-09-04 22:37:19
119,2,1,2024-01-24 17:52:39,00:15:09,00:23:58,07:20:51,660,638,22,0.9185,0.7485,0.9667,0.0815,0.2515,0.0333,0.6646,2024-01-24 18:10:25
120,5,1,2024-07-25 01:08:22,00:28:00,01:14:04,06:17:55,578,561,17,0.7873,0.7647,0.9706,0.2127,0.2353,0.0294,0.5844,2024-07-25 01:29:02
121,6,2,2024-07-24 04:33:42,00:05:59,01:44:34,06:09:25,560,547,13,0.7697,0.7579,0.9768,0.2303,0.2421,0.0232,0.5698,2024-07-24 04:45:48
122,4,1,2025-10-20 20:50:39,00:25:15,00:25:10,07:09:33,629,619,10,0.8949,0.7321,0.9841,0.1051,0.2679,0.0159,0.6448,2025-10-20 21:06:57
123,2,1,2025-09-19 19:17:01,00:04:33,00:37:57,07:17:28,756,728,28,0.9114,0.864,0.963,0.0886,0.136,0.037,0.7583,2025-09-19 20:10:03
124,1,1,2025-04-08 20:17:55,00:41:55,00:40:03,06:38:01,650,650,0,0.8292,0.8165,1.0,0.1708,0.1835,0.0,0.6771,2025-04-08 20:31:58
125,1,2,2024-04-12 15:08:39,00:04:16,00:56:20,06:59:23,668,655,13,0.8737,0.7964,0.9805,0.1263,0.2036,0.0195,0.6823,2024-04-12 15:43:14
126,1,2,2025-11-26 21:21:19,00:01:38,01:13:41,06:44:39,795,782,13,0.843,0.9823,0.9836,0.157,0.0177,0.0164,0.8146,2025-11-26 21:23:52
127,2,1,2023-01-21 04:52:36,00:15:34,00:18:34,07:25:51,634,634,0,0.9289,0.711,1.0,0.0711,0.289,0.0,0.6604,2023-01-21 05:34:36
128,6,2,2024-04-02 15:20:11,00:12:21,00:31:29,07:16:08,753,751,2,0.9086,0.8632,0.9973,0.0914,0.1368,0.0027,0.7823,2024-04-02 15:31:27
129,3,1,2023-02-25 15:51:04,00:09:30,01:48:15,06:02:13,653,635,18,0.7546,0.9014,0.9724,0.2454,0.0986,0.0276,0.6615,2023-02-25 16:39:43
130,2,2,2024-09-30 01:37:56,00:03:22,01:09:51,06:46:46,733,707,26,0.8474,0.901,0.9645,0.1526,0.099,0.0355,0.7365,2024-09-30 01:41:26
131,4,2,2024-01-20 06:34:50,00:11:33,00:20:41,07:27:45,643,625,18,0.9328,0.718,0.972,0.0672,0.282,0.028,0.651,2024-01-20 07:14:58
132,2,1,2023-05-10 06:20:16,00:04:20,00:22:39,07:32:59,660,654,6,0.9437,0.7285,0.9909,0.0563,0.2715,0.0091,0.6813,2023-05-10 07:02:49
133,2,2,2025-05-26 15:24:49,00:16:04,01:01:54,06:42:00,654,646,8,0.8375,0.8134,0.9878,0.1625,0.1866,0.0122,0.6729,2025-05-26 15:27:05
134,5,2,2023-01-09 20:58:13,00:05:03,00:34:21,07:20:34,680,675,5,0.9179,0.7717,0.9926,0.0821,0.2283,0.0074,0.7031,2023-01-09 21:19:05
135,4,2,2024-04-23 09:22:33,00:13:25,00:30:19,07:16:14,680,660,20,0.9088,0.7794,0.9706,0.0912,0.2206,0.0294,0.6875,2024-04-23 10:08:16
136,2,1,2025-07-30 22:07:00,00:14:57,01:02:37,06:42:25,675,671,4,0.8384,0.8387,0.9941,0.1616,0.1613,0.0059,0.699,2025-07-30 22:16:08
137,6,2,2024-04-20 12:19:32,00:30:33,01:08:50,06:20:36,585,563,22,0.7929,0.7685,0.9624,0.2071,0.2315,0.0376,0.5865,2024-04-20 12:41:01
138,5,2,2023-01-15 00:21:30,00:27:01,00:31:43,07:01:15,646,640,6,0.8776,0.7667,0.9907,0.1224,0.2333,0.0093,0.6667,2023-01-15 01:04:14
139,4,1,2023-10-19 22:51:15,00:22:54,00:38:56,06:58:08,660,636,24,0.8711,0.7892,0.9636,0.1289,0.2108,0.0364,0.6625,2023-10-19 23:24:09
140,5,1,2024-07-02 14:50:48,00:13:46,01:37:49,06:08:23,624,623,1,0.7675,0.8469,0.9984,0.2325,0.1531,0.0016,0.649,2024-07-02 15:11:31
141,4,1,2025-03-05 20:05:41,00:04:00,00:21:47,07:34:12,626,615,11,0.9463,0.6891,0.9824,0.0537,0.3109,0.0176,0.6406,2025-03-05 20:30:39
142,5,1,2024-03-21 03:50:07,00:03:56,00:55:44,07:00:18,839,810,29,0.8757,0.9981,0.9654,0.1243,0.0019,0.0346,0.8438,2024-03-21 03:57:02
143,3,1,2024-01-24 18:34:23,00:07:17,00:45:53,07:06:49,684,645,39,0.8892,0.8013,0.943,0.1108,0.1987,0.057,0.6719,2024-01-24 19:24:05
144,2,2,2024-09-10 05:30:43,00:05:51,00:34:29,07:19:38,776,770,6,0.9159,0.8825,0.9923,0.0841,0.1175,0.0077,0.8021,2024-09-10 06:13:07
145,3,2,2024-11-14 00:54:02,00:35:27,00:44:28,06:40:04,677,654,23,0.8335,0.8461,0.966,0.1665,0.1539,0.034,0.6812,2024-11-14 01:15:27
146,1,1,2023-02-24 01:51:45,00:14:07,00:35:51,07:10:01,887,860,27,0.8959,1.0,0.9696,0.1041,0.0,0.0304,0.8686,2023-02-24 02:29:34
147,1,2,2025-01-23 22:57:05,00:01:38,00:29:33,07:28:47,754,745,9,0.935,0.84,0.9881,0.065,0.16,0.0119,0.776,2025-01-23 23:16:54
148,3,1,2024-05-25 09:14:31,00:07:07,00:22:42,07:30:10,645,631,14,0.9379,0.7164,0.9783,0.0621,0.2836,0.0217,0.6573,2024-05-25 09:24:10
149,6,1,2025-08-26 06:28:29,00:16:10,01:25:00,06:18:49,466,459,7,0.7892,0.6151,0.985,0.2108,0.3849,0.015,0.4781,2025-08-26 07:07:15
150,4,1,2025-12-04 23:55:14,00:00:12,00:31:10,07:28:37,651,603,48,0.9346,0.7256,0.9263,0.0654,0.2744,0.0737,0.6281,2025-12-05 00:35:39
151,3,1,2023-01-05 16:44:58,00:59:46,00:38:48,06:21:25,665,651,14,0.7946,0.8717,0.9789,0.2054,0.1283,0.0211,0.6781,2023-01-05 16:58:44
152,3,1,2025-01-06 18:46:31,00:46:34,00:48:52,06:24:33,553,549,4,0.8012,0.719,0.9928,0.1988,0.281,0.0072,0.5719,2025-01-06 18:57:41
153,4,1,2024-06-06 06:09:36,00:15:13,00:13:31,07:31:15,896,894,2,0.9401,0.9928,0.9978,0.0599,0.0072,0.0022,0.9313,2024-06-06 06:18:16
